,title,originallink,link,description,pubDate
42,"정해인 앙코르 팬미팅 성료, 팬들과 생일 앞두고 따뜻한 시간",https://www.stardailynews.co.kr/news/articleView.html?idxno=481972,https://www.stardailynews.co.kr/news/articleView.html?idxno=481972,"스탠딩 에그의 '오래된 노래', 케빈오와 프라이머리의 '크레이지', 황가람의 '<b>나는 반딧불</b>'까지 연달아 부르며 무대를 채운 정해인은 특유의 부드러운 음색으로 분위기를 고조시켰다. MC 유재필이 합류해 선물 추첨... ","Wed, 02 Apr 2025 11:52:00 +0900"
43,"<b>나는반딧불</b> 황가람, 발매 160일 만에 멜론 차트 1위",https://www.stardailynews.co.kr/news/articleView.html?idxno=481942,https://www.stardailynews.co.kr/news/articleView.html?idxno=481942,특히 같은 날 방송된 SBS 예능 '미운 우리 새끼'에서 황가람이 출연해 20년 무명 시절을 극복하고 '<b>나는 반딧불</b>'로 대중의 사랑을 얻게 된 이야기를 전하면서 곡에 대한 관심이 더욱 높아진 것으로 보인다. 황가람은 이... ,"Wed, 02 Apr 2025 11:36:00 +0900"
44,"가수 황가람, '<b>나는 반딧불</b>' 성공에도 빚…노숙 생활 과거 고백",https://www.thepublic.kr/news/articleView.html?idxno=256559,https://www.thepublic.kr/news/articleView.html?idxno=256559,황가람은 '<b>나는 반딧불</b>'로 연일 음원 차트 1위를 기록했음에도 불구하고 아직 빚이 있다고 고백하며 모두를 의아하게 했다. 생활비 충당을 위해 아르바이트도 하고 있다고 털어놓았다. 지방에 거주하는 황가람의 어머니가... ,"Wed, 02 Apr 2025 11:22:00 +0900"
45,"제천시, 제45회 제천시민의 날 기념식' 성료",https://www.ccdailynews.com/news/articleView.html?idxno=2334497,https://www.ccdailynews.com/news/articleView.html?idxno=2334497,▲ 지난 1일 제천예술의 전당에서 진행된 제45회 제천시민의 날 기념식에서 시민대상을 수상한 오문수(왼쪽)... 기념 부대행사로 김경일 교수(아주대)의 명사초청 시민강연과 최근 '<b>나는 반딧불</b>'로 유명세를 타고 있는 가수... ,"Wed, 02 Apr 2025 10:50:00 +0900"
46,제45주년 제천시민의 날 성료… 시민대상 3인 시상,http://www.cctimes.kr/news/articleView.html?idxno=839029,http://www.cctimes.kr/news/articleView.html?idxno=839029,또한 시민의 날 기념 부대행사로 아주대학교 김경일 교수의 명사초청 시민강연과 최근 &lt;<b>나는 반딧불</b>&gt;로 유명한 가수 황가람의 축하무대 그리고 제천의 과거의 현재를 한눈에 볼 수 있는 사진전 등 제천시민의 날을 기념해... ,"Wed, 02 Apr 2025 10:42:00 +0900"
47,황가람 생활비 위해 아르바이트 병행하며 빚 청산 중,https://www.stardailynews.co.kr/news/articleView.html?idxno=481911,https://www.stardailynews.co.kr/news/articleView.html?idxno=481911,"가수 황가람이 '<b>나는 반딧불</b>'로 이름을 알렸지만 여전히 빚을 갚기 위해 아르바이트를 병행하고 있는 근황을... 제자가 &quot;이제 '<b>나는 반딧불</b>' 저작권료도 들어오지 않나요?&quot;라고 묻자, 황가람은 &quot;작사, 작곡은 내가 아니라... ","Wed, 02 Apr 2025 10:06:00 +0900"
48,"&quot;탄핵정국, 아이들은 보릿고개 넘는다&quot; 정치에 밀린 영유아예산, 안타깝...",https://www.ytn.co.kr/_ln/0103_202504020938207756,https://n.news.naver.com/mnews/article/052/0002174529?sid=102,◇ 최효숙 : 제가 최근에 <b>나는 반딧불</b>이라는 노래를 굉장히 좋아했었는데 제가 생각을 해보니까... 그래서 내가 사랑하는 사람과 내 사랑하는 친구가 같이 사랑에 빠졌지만 난 너네들의 행복을 위해서 언제든지... ,"Wed, 02 Apr 2025 09:38:00 +0900"
49,"제천시, 승격 45주년… 제천시민 기념행사",https://www.thepublic.kr/news/articleView.html?idxno=256535,https://www.thepublic.kr/news/articleView.html?idxno=256535,"부대행사는 아주대학교 김경일 교수 명사초청 시민강연과 최근 '<b>나는 반딧불</b>'로 유명한 가수 황가람 축하무대, 제천의 과거와 현재를 한눈에 볼 수 있는 사진전 등으로 구성했다. 김창규 제천시장은 기념사에서 &quot;제천시가... ","Wed, 02 Apr 2025 09:26:00 +0900"
50,"제천시, 시 승격 45주년 기념 시민의 날 행사 성료",https://www.joongdo.co.kr/web/view.php?key=20250402010000540,https://www.joongdo.co.kr/web/view.php?key=20250402010000540,"제천시는 4월 1일, 제천예술의전당에서 시 승격 45주년을 기념하는 '제45주년 제천시민의 날' 기념행사를... 부대행사로는 아주대학교 김경일 교수의 시민강연이 진행됐으며, 최근 '<b>나는 반딧불</b>'로 알려진 가수 황가람의... ","Wed, 02 Apr 2025 09:22:00 +0900"
51,제45주년 제천시민의 날 기념행사 개최... 시민대상 3인 시상,http://www.chungnamilbo.co.kr/news/articleView.html?idxno=821476,http://www.chungnamilbo.co.kr/news/articleView.html?idxno=821476,또한 시민의 날 기념 부대행사로 아주대학교 김경일 교수의 명사초청 시민강연과 최근 &lt;<b>나는 반딧불</b>&gt;로 유명한 가수 황가람의 축하무대 그리고 제천의 과거의 현재를 한눈에 볼 수 있는 사진전 등 제천시민의 날을 기념해... ,"Wed, 02 Apr 2025 09:06:00 +0900"
